"I1" "I2" "I3" "I4"
"1" 1 1 1 1
"2" 1 1 1 1
"3" 1 1 1 1
"4" 1 1 1 1
"5" 1 1 1 1
"6" 1 1 1 1
"7" 1 1 1 1
"8" 1 1 1 1
"9" 1 1 1 1
"10" 1 1 1 1
"11" 1 1 1 1
"12" 1 1 1 1
"13" 1 1 1 1
"14" 1 1 1 1
"15" 1 1 1 1
"16" 1 1 1 1
"17" 1 1 1 1
"18" 1 1 1 1
"19" 1 1 1 1
"20" 1 1 1 1
"21" 1 1 1 1
"22" 1 1 1 1
"23" 1 1 1 1
"24" 1 1 1 1
"25" 1 1 1 1
"26" 1 1 1 1
"27" 1 1 1 1
"28" 1 1 1 1
"29" 1 1 1 1
"30" 1 1 1 1
"31" 1 1 1 1
"32" 1 1 1 1
"33" 1 1 1 1
"34" 1 1 1 1
"35" 1 1 1 1
"36" 1 1 1 1
"37" 1 1 1 1
"38" 1 1 1 1
"39" 1 1 1 1
"40" 1 1 1 1
"41" 1 1 1 1
"42" 1 1 1 1
"43" 1 1 1 1
"44" 1 1 1 1
"45" 1 1 1 1
"46" 1 1 1 1
"47" 1 1 1 1
"48" 1 1 1 1
"49" 1 1 1 1
"50" 1 1 1 1
"51" 1 1 1 1
"52" 1 1 1 1
"53" 1 1 1 1
"54" 1 1 1 1
"55" 1 1 1 1
"56" 1 1 1 1
"57" 1 1 1 1
"58" 1 1 1 1
"59" 1 1 1 1
"60" 1 1 1 1
"61" 1 1 1 1
"62" 1 1 1 1
"63" 1 1 1 1
"64" 1 1 1 1
"65" 1 1 1 1
"66" 1 1 1 1
"67" 1 1 1 1
"68" 1 1 1 1
"69" 1 1 1 1
"70" 1 1 1 1
"71" 1 1 1 1
"72" 1 1 1 1
"73" 1 1 1 1
"74" 1 1 1 1
"75" 1 1 1 1
"76" 1 1 1 1
"77" 1 1 1 1
"78" 1 1 1 1
"79" 1 1 1 1
"80" 1 1 1 1
"81" 1 1 1 1
"82" 1 1 1 1
"83" 1 1 1 1
"84" 1 1 1 1
"85" 1 1 1 1
"86" 1 1 1 1
"87" 1 1 1 1
"88" 1 1 1 1
"89" 1 1 1 1
"90" 1 1 1 1
"91" 1 1 1 1
"92" 1 1 1 1
"93" 1 1 1 1
"94" 1 1 1 1
"95" 1 1 1 1
"96" 1 1 1 1
"97" 1 1 1 1
"98" 1 1 1 1
"99" 1 1 1 1
"100" 1 1 1 1
"101" 1 1 1 1
"102" 1 1 1 1
"103" 1 1 1 1
"104" 1 1 1 1
"105" 1 1 1 1
"106" 1 1 1 1
"107" 1 1 1 1
"108" 1 1 1 1
"109" 1 1 1 1
"110" 1 1 1 1
"111" 1 1 1 1
"112" 1 1 1 1
"113" 1 1 1 1
"114" 1 1 1 1
"115" 1 1 1 1
"116" 1 1 1 1
"117" 1 1 1 1
"118" 1 1 1 1
"119" 1 1 1 1
"120" 1 1 1 1
"121" 1 1 1 1
"122" 1 1 1 1
"123" 1 1 1 1
"124" 1 1 1 1
"125" 1 1 1 1
"126" 1 1 1 1
"127" 1 1 1 1
"128" 1 1 1 1
"129" 1 1 1 1
"130" 1 1 1 1
"131" 1 1 1 1
"132" 1 1 1 1
"133" 1 1 1 1
"134" 1 1 1 1
"135" 1 1 1 1
"136" 1 1 1 1
"137" 1 1 1 1
"138" 1 1 1 1
"139" 1 1 1 1
"140" 1 1 1 1
"141" 1 1 1 1
"142" 0 0 0 0
"143" 0 0 0 0
"144" 0 0 0 0
"145" 0 0 0 0
"146" 0 0 0 0
"147" 0 0 0 0
"148" 0 0 0 0
"149" 0 0 0 0
"150" 0 0 0 0
"151" 0 0 0 0
"152" 0 0 0 0
"153" 0 0 0 0
"154" 0 0 0 0
"155" 0 0 0 0
"156" 0 0 0 0
"157" 0 0 0 0
"158" 0 0 0 0
"159" 0 0 0 0
"160" 0 0 0 0
"161" 0 0 0 0
"162" 0 0 0 0
"163" 0 0 0 0
"164" 0 0 0 0
"165" 0 0 0 0
"166" 0 0 0 0
"167" 0 0 0 0
"168" 0 0 0 0
"169" 0 0 0 0
"170" 0 0 0 0
"171" 0 0 0 0
"172" 0 0 0 0
"173" 0 0 0 0
"174" 0 0 0 0
"175" 0 0 0 0
"176" 0 0 0 0
"177" 0 0 0 0
"178" 0 0 0 0
"179" 0 0 0 0
"180" 0 0 0 0
"181" 0 0 0 0
"182" 0 0 0 0
"183" 0 0 0 0
"184" 0 0 0 0
"185" 0 0 0 0
"186" 0 0 0 0
"187" 0 0 0 0
"188" 0 0 0 0
"189" 0 0 0 0
"190" 0 0 0 0
"191" 0 0 0 0
"192" 0 0 0 0
"193" 0 0 0 0
"194" 0 0 0 0
"195" 0 0 0 0
"196" 0 0 0 0
"197" 0 0 0 0
"198" 0 0 0 0
"199" 0 0 0 0
"200" 0 0 0 0
"201" 0 0 0 0
"202" 0 0 0 0
"203" 0 0 0 0
"204" 0 0 0 0
"205" 0 0 0 0
"206" 0 0 0 0
"207" 0 0 0 0
"208" 0 0 0 0
"209" 0 0 0 0
"210" 0 0 0 0
"211" 0 0 0 0
"212" 0 0 0 0
"213" 0 0 0 0
"214" 0 0 0 0
"215" 0 0 0 0
"216" 0 0 0 0
"217" 0 0 0 0
"218" 0 0 0 0
"219" 0 0 0 0
"220" 0 0 0 0
"221" 0 0 0 0
"222" 0 0 0 0
"223" 0 0 0 0
"224" 0 0 0 0
"225" 0 0 0 0
"226" 0 0 0 0
"227" 0 0 0 0
"228" 0 0 0 0
"229" 0 0 0 0
"230" 0 0 0 0
"231" 0 0 0 0
"232" 0 0 0 0
"233" 0 0 0 0
"234" 0 0 0 0
"235" 0 0 0 0
"236" 0 0 0 0
"237" 0 0 0 0
"238" 0 0 0 0
"239" 0 0 0 0
"240" 0 0 0 0
"241" 0 0 0 0
"242" 0 0 0 0
"243" 0 0 0 0
"244" 0 0 0 0
"245" 0 1 1 1
"246" 0 1 1 1
"247" 0 1 1 1
"248" 0 1 1 1
"249" 0 1 1 1
"250" 0 1 1 1
"251" 0 1 1 1
"252" 0 1 1 1
"253" 0 1 1 1
"254" 0 1 1 1
"255" 0 1 1 1
"256" 0 1 1 1
"257" 0 1 1 1
"258" 0 1 1 1
"259" 0 1 1 1
"260" 0 1 1 1
"261" 0 1 1 1
"262" 0 1 1 1
"263" 0 1 1 1
"264" 0 1 1 1
"265" 0 1 1 1
"266" 0 1 1 1
"267" 0 1 1 1
"268" 0 1 1 1
"269" 0 1 1 1
"270" 0 1 1 1
"271" 0 1 1 1
"272" 0 1 1 1
"273" 0 1 1 1
"274" 0 1 1 1
"275" 0 1 1 1
"276" 0 1 1 1
"277" 0 1 1 1
"278" 0 1 1 1
"279" 0 1 1 1
"280" 0 1 1 1
"281" 0 1 1 1
"282" 0 1 1 1
"283" 0 1 1 1
"284" 0 1 1 1
"285" 0 1 1 1
"286" 0 1 1 1
"287" 0 1 1 1
"288" 0 1 1 1
"289" 0 0 1 1
"290" 0 0 1 1
"291" 0 0 1 1
"292" 0 0 1 1
"293" 0 0 1 1
"294" 0 0 1 1
"295" 0 0 1 1
"296" 0 0 1 1
"297" 0 0 1 1
"298" 0 0 1 1
"299" 0 0 1 1
"300" 0 0 1 1
"301" 0 0 1 1
"302" 0 0 1 1
"303" 0 0 1 1
"304" 0 0 1 1
"305" 0 0 1 1
"306" 0 0 1 1
"307" 0 0 1 1
"308" 0 0 1 1
"309" 0 0 1 1
"310" 0 0 0 1
"311" 0 0 0 1
"312" 0 0 0 1
"313" 0 0 0 1
"314" 0 0 0 1
"315" 0 0 0 1
"316" 0 0 0 1
"317" 0 0 0 1
"318" 0 0 0 1
"319" 0 0 0 1
"320" 0 0 0 1
"321" 0 0 0 1
"322" 0 0 0 1
"323" 1 1 1 0
"324" 1 1 1 0
"325" 1 1 1 0
"326" 1 1 1 0
"327" 1 1 1 0
"328" 1 1 1 0
"329" 1 1 1 0
"330" 1 1 1 0
"331" 1 1 1 0
"332" 1 1 1 0
"333" 1 1 1 0
"334" 1 1 1 0
"335" 0 0 1 0
"336" 0 0 1 0
"337" 0 0 1 0
"338" 0 0 1 0
"339" 0 0 1 0
"340" 0 0 1 0
"341" 0 0 1 0
"342" 0 0 1 0
"343" 0 0 1 0
"344" 0 0 1 0
"345" 0 1 0 0
"346" 0 1 0 0
"347" 0 1 0 0
"348" 0 1 0 0
"349" 0 1 0 0
"350" 0 1 0 0
"351" 0 1 0 0
"352" 0 1 0 0
"353" 0 1 0 0
"354" 0 1 1 0
"355" 0 1 1 0
"356" 0 1 1 0
"357" 0 1 1 0
"358" 0 1 1 0
"359" 0 1 1 0
"360" 0 1 1 0
"361" 1 0 1 1
"362" 1 0 1 1
"363" 1 0 1 1
"364" 1 0 1 1
"365" 1 0 1 1
"366" 1 0 1 1
"367" 0 1 0 1
"368" 0 1 0 1
"369" 0 1 0 1
"370" 0 1 0 1
"371" 0 1 0 1
"372" 0 1 0 1
"373" 1 1 0 1
"374" 1 1 0 1
"375" 1 1 0 1
"376" 1 1 0 0
"377" 1 1 0 0
"378" 1 1 0 0
"379" 1 0 0 0
